wordpiece,tokenized by seBERT
springsource,spring ##source
onc,on ##c
kvo,kv ##o
fscanf,fs ##can ##f
computationally,computational ##ly
array1,array ##1
wxwidgets,wx ##widgets
refering,refer ##ing
skeet,ske ##et
sscanf,ssc ##an ##f
countless,count ##less
nextint,next ##int
ios8,ios ##8
100x,100 ##x
quantifier,quant ##ifier
railscasts,rails ##casts
nswindow,ns ##window
intending,intend ##ing
jdialog,jd ##ialog
smalltalk,small ##talk
hsql,hs ##ql
averages,average ##s
onetomany,one ##tom ##any
cultureinfo,culture ##info
htmlentities,html ##entities
getchild,getc ##hil ##d
topmost,top ##most
str1,str ##1
subcategories,sub ##categories
appendchild,append ##child
shrinks,shrink ##s
mere,mer ##e
uibarbuttonitem,uib ##arb ##utton ##item
autores,autore ##s
j2me,j2 ##me
bfs,bf ##s
calender,cal ##ender
strftime,str ##ftime
workbooks,workbook ##s
resign,res ##ign
treeset,trees ##et
irregular,irr ##eg ##ular
reportviewer,report ##viewer
kepler,ke ##pler
misconfig,misc ##on ##fig
filereader,file ##reader
rootviewcontroller,root ##viewcontroller
streamed,stream ##ed
disposal,dispos ##al
evident,evi ##den ##t
nstableview,nst ##able ##view
statment,stat ##ment
stringwith,string ##with
responsetext,responset ##ext
triang,tri ##ang
muck,mu ##ck
numerically,numerical ##ly
examined,examine ##d
cater,cat ##er
disj,dis ##j
databse,datab ##se
prototyping,prototyp ##ing
nsmutabledictionary,nsmutable ##dictionary
subn,sub ##n
decoupled,decouple ##d
vs2005,vs ##2005
bookmarklet,bookmark ##let
neater,neat ##er
hasmany,has ##many
dataaccess,data ##access
joption,jo ##ption
neatly,neat ##ly
stringstream,strings ##tre ##am
